alerte_id;question
7;Les animaux présentent-ils les symptômes de la grippe ? Diarrhées avec température ? Des problèmes respiratoires ? Toux ? Jetages ?
7;Le troupeau est-il touché par le vol par de la boucherie sauvage en pâture ?
8;Voir ci-dessus
8;La ration présentet-elle suffisament de fibres ?
8;Y-a-t-il un risque d'antérotoxémie sur le lot avec des rations trop riches - La vaccination est-elle pratiquée ?
8;La mortalité fait-elle suite à une grippe non détectée ou mal soignée ?
8;Les animaux présentent-ils des problèmes respiratoires de type Virus RS - BVD ou IBR ?
8;Animaux parasités (voir onglet parasitisme)
9;Le renouvellement du troupeau est-il suffisant pour réformer les animaux à risque ?
10;Voir onglet reproduction
10;Voir onglet maladies métaboliques
10;Voir plus haut
10;Voir onglet Parasitisme
10;Voir onglet maladies métaboliques
11;Les apports sont-ils suffisants par rapport aux objectifs de croissance ?
11;Le parasitisme est-il maitrisé ?
11;Les génisses sont-elles touchées par des pathologies du jeune âge ? (respiratoires, …)
12;Les apports alimentaires sont-ils suffisants durant le premier mois de lactation ? Et pour les primipares ?
12;Les animaux ne sont-ils pas trop gras au vêlage ?
12;Le parasitisme est-il maitrisé ?
13;Les maladies en lien avec la reproduction (BVD, Chlamydiose) sont-elles connues et maitrisées ?
13;Les vêlages précédents ont-ils été difficiles ?
13;La fertilité du taureau est-elle surveillée ?
13;La ration est-elle équilibrée et notamment en apports minéraux ?
14;Les animaux sont-ils confrontés à des éléments perturbateurs : chiens, loups ?
14;Les maladies abortives (BVD, Fièvre Q, FCO, …) sont-elles maitrisées ?
14;les gestantes sont-elles touchées par des infections diverses avec fièvre ?
14;Des traitements corticoïdes, etc. ont-ils été administrés ?
15;Les vaches ont-elles présenté un anoestrus d'hiver ?
15;Les vaches ont-elles présenté un anoestrus d'allaitement ?
15;Les apports alimentaires sont-ils suffisants pour éviter les pertes d'état ?
15;Les apports en vitamines, minéraux et/ou oligoéléments sont-ils suffisants ?
15;Les vaches ont-elles subies des métrites ou non-délivrances mal gérées ?
15;Les vêlages précédents ont-ils été difficiles ?
15;Les vaches sont-elles de souches faiblement indexées en fertilité ?
15;Le nombre de vaches par taureaux est-il cohérent ?
15;L'alimentation des taureaux est-elle suffisante ?
15;La fertilité du taureau est-elle surveillée ?
16;Le type génétique du taureau est-il adapté à la morphologie des vaches et des génisses ?
16;La ration fin de gestation n'est-elle pas trop riche ?
16;Les reproductrices présentent-elles une morphologie adaptée au vêlage ?
16;L'âge au vêlage est-il trop jeune ?
16;La conduite des génisses de renouvellement est-elle cohérente avec l'objectif d'âge au vêlage ?
17;"cf. ""vêlages difficiles"""
17;Les mises-bas ont-elles lieu dans une case de vêlage dédiée et propre ?
17;Les interventions humaines respectent-elles les conditions d'hygiène ?
17;Les apports en vitamines, minéraux et/ou oligoéléments sont-ils suffisants ?
18;La ration fin de gestation n'est-elle pas trop riche ?
18;Le type génétique du taureau peut-il être à l'origine de ces poids de naissance trop élevé ?
20;La ration est-elle suffisamment riche en fibres ?
20;La ration est-elle excédentaire en amidon ?
20;Les animaux ont-ils subit une transition alimentaire brutale ou trop courte (inf à 3 semaines) ?
21;La mise en  quarantaine des animaux achetés est-elle respectée ?
21;La ration est-elle excédentaire ?
21;Les animaux sont-ils vaccinés entérotoxémie ?
21;La ration est-elle calculée ?
21;La ration est-elle pesée ?
21;La ration distribuée est-elle différente de la ration calculée ?
21;Les délais de transition alimentaire sont-ils respectés ?
21;Comment les animaux valorisent la ration (observation des animaux) ?
21;Les sols sont-ils glissants ?
21;Les bagarres sont fréquentes ? Les animaux sont nerveux ?
21;La densité animale n'est-elle pas trop élevée ?
21;Le bâtiment est-il suffisamment ventilé ? Présence de courants d'air, ammoniac, chaleur ?
21;La maladie des muqueuses (BVD) est-elle maitrisée dans le troupeau ?
22;La ration contient-elle suffisamment de fibres de structure ?
22;La ration est-elle équilibrée ?
22;Les délais de transition alimentaire sont-ils respectés ?
22;le troupeau est-il protégé des contaminations extérieures (personnes, animaux, matériel) ?
22;Le troupeau est-il touché par la paratuberulose ?
22; Les parasites strongles digestifs, paramphistome et grande douve sont-ils maitrisés ?
22;L'eau est potable ?
22;L'abreuvement sur points d'eaux naturels potentiellement contaminés est-il sécurisé ?
22;Existe-il une bonne gestion du pâturage vis-à-vis du parasitisme ?
22;Pratiquez-vous un suivi/dépistage de l'infestation parasitaire ?
23;Les délais de transition alimentaire sont-ils respectés ?
23;La proportion de légumineuses météorisantes (trèfle violet, luzerne, …) dans la ration est-elle trop importante ?
23;Pratiquez-vous le pâturage dans des vergers (pommiers) ?
24;Absence de complémentation en Mg à la mise à l'herbe
24;Absence de transition entre la ration hivernale et printanière
24;Ingestion excessive d'herbe jeune qui accélère le transit, limitant l'absorption de magnésium
25;cf. vélage difficile
25;Des apports minéraux, vitamines, oligoéléments (Sélénium, Magnésium, …) sont-ils réalisés ?
25;Assurez-vous une bonne surveillance et êtes-vous correctement équipé ?
25;Etes-vous équipé d'une case de vélage et d'isolement du couple mère veau ?
25;Assurez-vous une bonne hygiène des locaux ?
25;Les vaches ont-elles de bonnes qualités maternelles ?
25;La prise de colostrum est-elle suffisante ?
25;Possédez-vous une banque de colostrum de qualité congelé ?
25;Possédez-vous et utilisez-vous un pèse colostrum ?
25;Les mamelles des vaches sont-elles défectueuse (cf. mamelle vache) ?
26;La ration des mères n'est-elle pas trop riche en énergie ou en azote ?
26;La quantité de colostrum bue est-elle suffisante ?
26;Possédez-vous et utilisez-vous un pèse colostrum ?
26;Possédez-vous une banque de colostrum de qualité congelé ?
26;Y-a-t-il des box à veaux dans la stabulation ?
26;Possédez-vous une case de quarantaine pour les veaux malades ?
26;Les veaux présentent-ils des écarts d'âge important ?
26;Assurez-vous une bonne hygiène des box à veaux ?
27;Rencontrez-vous des problèmes de coccidiose ?
27;Le bâtiment est-il bien ventilé ?
27;Possédez-vous une case de quarantaine pour les veaux malades ?
27;Les veaux ont-ils accès à un abreuvoir adapté ?
28;La ration des mères est-elle équilibrée ?
28;Y-at-il une bonne surveillance et maîtrise du parasitisme (coccidiose, poux, tiques, strongyloses, etc.) ?
28;Maitrisez-vous les pathologies du jeune âge ?
28;"Le critère génétique ""croissance"" est-il pris en compte dans votre sélection ? (choix des génisses et taureaux)"
29;Les apports en oligoéléments à la mère sont-ils suffisants ?
29;Désinfectez-vous les nombrils à la naissance ?
29;Y-a-t-il des box à veaux dans la stabulation ?
29;Assurez-vous une bonne hygiène des box à veaux ?
30;La ration des mères n'est-elle pas trop riche en énergie ou en azote ?
30;Rencontrez-vous des problèmes de coccidiose ?
30;Maitrisez-vous les pathologies du jeune âge ?
30;Y-at-il une bonne surveillance et maîtrise du parasitisme (coccidiose, poux, tiques, strongyloses, etc.) ?
30;Avez-vous neutralisé les bétons neufs ?
30;La complémentation des veaux est-elle adaptée ?
30;L'eau est-elle potable ?
31;Le bâtiment est-il bien ventilé ?
31;La densité d'animaux n'est-elle pas trop importante pour le volume d'air disponible ?
31;Pratiquez-vous un vide sanitaire et la désinfection des locaux ?
31;Y-a-t-il des mélange d'animaux provenant de différents lots/lieux ?
31;Pratiquez-vous la vaccination avant ou lors de l'allotement ?
31;Les animaux ont-ils subi un coup de chaud/froid lors du transport ou de l'allotement ?
32;La densité d'animaux n'est-elle pas trop importante par rapport à la surface de vie ?
32;Y-a-t-il des box à veaux dans la stabulation ?
32;Maintenez-vous le taureau dans les cases avec vaches en chaleur ?
32;Possédez-vous du matériel de surveillance ?
33;Possédez-vous des cases de vêlage avec contention des mères ?
33;Votre temps de surveillance est-il suffisant ?
33;Les vêlages en extérieur sont-ils majoritaires ?
33;Les vêlages sont-ils étalés sur toute l'année ?
33;Les vaches présentent-elles des faibles qualités maternelles ?
33;Avez-vous une proportion importante de gros veaux à la naissance ?
33;Les gros veaux à la naissance ne sont-ils pas dû à une ration des mères en fin de gestation trop riche ?
33;La ration des mères en fin de gestation est-elle déficitaire en minéraux, oligo et vitamines ?
34;Les vaches présentent-elles de faibles qualités maternelles ?
34;Possédez-vous des vaches non dociles ?
34;observez-vous un manque d'état important des mères en fin de gestation ?
35;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
35;Les pâtures présentent-elles des zones humides ?
35;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
35;Epandez-vous du fumier frais tardivement ? (au printemps)
35;L'abreuvement au pâturage est-il de bonne qualité ?
35;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
35;Votre temps de détection des animaux à poils piqués est-il suffisant ?
35;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
35;Administrez-vous des traitements curatifs ?
36;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
36;Les pâtures présentent-elles des zones humides ?
36;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
36;Epandez-vous du fumier frais tardivement ? (au printemps)
36;L'abreuvement au pâturage est-il de bonne qualité ?
36;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
36;Votre temps de détection des animaux à poils piqués est-il suffisant ?
36;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
36;Administrez-vous des traitements curatifs ?
37;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
37;Les pâtures présentent-elles des zones humides ?
37;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
37;Epandez-vous du fumier frais tardivement ? (au printemps)
37;L'abreuvement au pâturage est-il de bonne qualité ?
37;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
37;Votre temps de détection des animaux à poils piqués est-il suffisant ?
37;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
37;Administrez-vous des traitements curatifs ?
38;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
38;Les pâtures présentent-elles des zones humides ?
38;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
38;Epandez-vous du fumier frais tardivement ? (au printemps)
38;L'abreuvement au pâturage est-il de bonne qualité ?
38;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
38;Votre temps de détection des animaux à poils piqués est-il suffisant ?
38;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
38;Administrez-vous des traitements curatifs ?
39;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
39;Les pâtures présentent-elles des zones humides ?
39;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
39;Epandez-vous du fumier frais tardivement ? (au printemps)
39;L'abreuvement au pâturage est-il de bonne qualité ?
39;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
39;Votre temps de détection des animaux à poils piqués est-il suffisant ?
39;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
39;Administrez-vous des traitements curatifs ?
40;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
40;Les pâtures présentent-elles des zones humides ?
40;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
40;Epandez-vous du fumier frais tardivement ? (au printemps)
40;L'abreuvement au pâturage est-il de bonne qualité ?
40;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
40;Votre temps de détection des animaux à poils piqués est-il suffisant ?
40;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
40;Administrez-vous des traitements curatifs ?
41;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
42;Les pâtures présentent-elles des zones humides ?
43;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
44;Epandez-vous du fumier frais tardivement ? (au printemps)
45;L'abreuvement au pâturage est-il de bonne qualité ?
46;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
47;Votre temps de détection des animaux à poils piqués est-il suffisant ?
48;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
49;Administrez-vous des traitements curatifs ?
42;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
42;Les pâtures présentent-elles des zones humides ?
42;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
42;Epandez-vous du fumier frais tardivement ? (au printemps)
42;L'abreuvement au pâturage est-il de bonne qualité ?
42;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
42;Votre temps de détection des animaux à poils piqués est-il suffisant ?
42;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
42;Administrez-vous des traitements curatifs ?
43;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
43;Les pâtures présentent-elles des zones humides ?
43;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
43;Epandez-vous du fumier frais tardivement ? (au printemps)
43;L'abreuvement au pâturage est-il de bonne qualité ?
43;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
43;Votre temps de détection des animaux à poils piqués est-il suffisant ?
43;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
43;Administrez-vous des traitements curatifs ?
44;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
44;Les pâtures présentent-elles des zones humides ?
44;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
44;Epandez-vous du fumier frais tardivement ? (au printemps)
44;L'abreuvement au pâturage est-il de bonne qualité ?
44;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
44;Votre temps de détection des animaux à poils piqués est-il suffisant ?
44;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
44;Administrez-vous des traitements curatifs ?
45;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
45;Les pâtures présentent-elles des zones humides ?
45;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
45;Epandez-vous du fumier frais tardivement ? (au printemps)
45;L'abreuvement au pâturage est-il de bonne qualité ?
45;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
45;Votre temps de détection des animaux à poils piqués est-il suffisant ?
45;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
45;Administrez-vous des traitements curatifs ?
46;Pratiquez-vous une bonne gestion sanitaire du pâturage ?
46;Les pâtures présentent-elles des zones humides ?
46;Le surpâturage est-il fréquent (hauteur d'herbe <5cm à la sortie)
46;Epandez-vous du fumier frais tardivement ? (au printemps)
46;L'abreuvement au pâturage est-il de bonne qualité ?
46;Mélangez-vous d'animaux de tout âge dans les mêmes parcelles ?
46;Votre temps de détection des animaux à poils piqués est-il suffisant ?
46;Recherchez-vous les parasites par analyse coprologique ou sanguine ?
46;Administrez-vous des traitements curatifs ?
47;Revoir les questions
48;Revoir les questions
49;Revoir les questions
50;Les souches de vaches avec des gros trayons et/ou quartiers déséquilibrés, trayons courts sont-elles nombreuses ?
50;Les vaches présentent-elles de faibles qualités maternelles avec refus du veau et apparition de mammites et perte d'un quartier ?
50;Les vaches présentent-elles de fortes qualités maternelles avec une production laitière trop importante et apparition de mammites et perte d'un quartier ?
50;Les veaux sont-ils trop lourds à la naissance, mous avec difficultés pour téter et apparition de mammites et perte d'un quartier ?
50;La montée de lait est-elle trop rapide par rapport aux besoins du veau et apparition de mammites et perte d'un quartier ?
50;La ration avec mauvais équilibre minéral en fin de lactation et œdème de la mamelle + gros trayons congestionnés et durs + mammites ?
50;Les génisses se tètent-elles entre elles après le sevrage avec déformation des mamelles ?
51;Les vaches présentent-elles de faibles qualités maternelles avec refus du veau et apparition de mammites et perte d'un quartier ?
51;Les vaches présentent-elles de fortes qualités maternelles avec une production laitière trop importante et apparition de mammites et perte d'un quartier ?
51;Les veaux sont-ils trop lourds à la naissance, mous avec difficultés pour téter et apparition de mammites et perte d'un quartier ?
51;La montée de lait est-elle trop rapide par rapport aux besoins du veau et apparition de mammites et perte d'un quartier ?
51;La ration avec mauvais équilibre minéral en fin de lactation et œdème de la mamelle + gros trayons congestionnés et durs + mammites ?
52;La ration présente-t-elle un excès d'amidon ou sucres dans la ration ?
52;La ration présente-t-elle un manque de fibrosité ?
52;La ration présente-t-elle un déficit en minéraux et oligo-éléments ?
52;La ration présente-t-elle un déficit énergétique ?
52;Les bétons neufs sont-ils neutralisés ?
52;Le bâtiment présente-t-il une humidité permanente sur les sols ?
52;Le raclage des aires de vie est-il suffisamment fréquent ?
52;La sélection du troupeau est-elle axée sur les aptitudes fonctionnelles ?
52;Le tri des génisses de renouvellement tient-il compte des aplombs ?
52;Le taureau est-il paré  avant mise à la reproduction ?
52;Le taureau passe-t-il sa période de repos du litière accumulée ?
52;Y-a-t-il des cailloux, silex sur les chemins d'accès ?
53;La ration présente-t-elle un excès d'amidon ou sucres dans la ration ?
53;La ration présente-t-elle un manque de fibrosité ?
53;La ration présente-t-elle un déficit en minéraux et oligo-éléments ?
53;La ration présente-t-elle un déficit énergétique ?
53;Les bétons neufs sont-ils neutralisés ?
53;Le bâtiment présente-t-il une humidité permanente sur les sols ?
53;Le raclage des aires de vie est-il suffisamment fréquent ?
53;La sélection du troupeau est-elle axée sur les aptitudes fonctionnelles ?
53;Le tri des génisses de renouvellement tient-il compte des aplombs ?
53;Le taureau est-il paré  avant mise à la reproduction ?
53;Le taureau passe-t-il sa période de repos du litière accumulée ?
53;Y-a-t-il des cailloux, silex sur les chemins d'accès ?
54;La ration présente-t-elle un excès d'amidon ou sucres dans la ration ?
54;La ration présente-t-elle un manque de fibrosité ?
54;La ration présente-t-elle un déficit en minéraux et oligo-éléments ?
54;La ration présente-t-elle un déficit énergétique ?
54;Les bétons neufs sont-ils neutralisés ?
54;Le bâtiment présente-t-il une humidité permanente sur les sols ?
54;Le raclage des aires de vie est-il suffisamment fréquent ?
54;La sélection du troupeau est-elle axée sur les aptitudes fonctionnelles ?
54;Le tri des génisses de renouvellement tient-il compte des aplombs ?
54;Le taureau est-il paré  avant mise à la reproduction ?
54;Le taureau passe-t-il sa période de repos du litière accumulée ?
54;Y-a-t-il des cailloux, silex sur les chemins d'accès ?
